,mkt_excess_daily
2016-06-02,0.002749513051386937
2016-06-03,-0.00298334573133538
2016-06-06,0.004817264793897093
2016-06-07,0.0012209419999681384
2016-06-08,0.0032368184773141945
2016-06-09,-0.0017853484585807408
2016-06-10,-0.009282083888197356
2016-06-13,-0.008212069345969377
2016-06-14,-0.0018642756282318024
2016-06-15,-0.0019053985445891244
2016-06-16,0.0030662755318260544
2016-06-17,-0.0033270547008688207
2016-06-20,0.005725660205808109
2016-06-21,0.002641107109569174
2016-06-22,-0.001719432106952654
2016-06-23,0.01320711328859587
2016-06-24,-0.03664261038480215
2016-06-27,-0.01831976415515693
2016-06-28,0.017556603960633743
2016-06-29,0.016830161175643794
2016-06-30,0.013415172334098528
2016-07-01,0.0018891886495778457
2016-07-05,-0.006925025030861485
2016-07-06,0.005284299569958055
2016-07-07,-0.0009271281453401097
2016-07-08,0.015084190520729634
2016-07-11,0.003346475187395806
2016-07-12,0.006924587802087623
2016-07-13,7.645887838253841e-05
2016-07-14,0.005185168296438903
2016-07-15,-0.000992368540650073
2016-07-18,0.002316862936490315
2016-07-19,-0.001497631368861364
2016-07-20,0.00419860943038557
2016-07-21,-0.0036808874357444937
2016-07-22,0.0044818092102907265
2016-07-25,-0.0030782269914575084
2016-07-26,0.000260914581499895
2016-07-27,-0.0012591245873564186
2016-07-28,0.0015450568075446715
2016-07-29,0.0015724624742036882
2016-08-01,-0.001330066884825377
2016-08-02,-0.006442976931867282
2016-08-03,0.0030680065968714844
2016-08-04,0.00015307656215476868
2016-08-05,0.008504098404001638
2016-08-08,-0.0009701761769200212
2016-08-09,0.00032868186735636966
2016-08-10,-0.0029278788590984058
2016-08-11,0.004661597523224126
2016-08-12,-0.0008558361242483758
2016-08-15,0.002727980175322159
2016-08-16,-0.005555959795697744
2016-08-17,0.0018054191377095885
2016-08-18,0.0021369471911243266
2016-08-19,-0.0015035178202959943
2016-08-22,-0.0006245180025227201
2016-08-23,0.0018888310591621204
2016-08-24,-0.005315482128117851
2016-08-25,-0.0014283686481732628
2016-08-26,-0.0016438347949731776
2016-08-29,0.005152610849454828
2016-08-30,-0.002017408986342296
2016-08-31,-0.0024408993570904144
2016-09-01,-0.0001032029686309602
2016-09-02,0.004129252118255688
2016-09-06,0.002916206250805736
2016-09-07,-0.00020704126976629612
2016-09-08,-0.002288868230207188
2016-09-09,-0.02489346498345141
2016-09-12,0.0145042743727475
2016-09-13,-0.015009812003677365
2016-09-14,-0.0006547427215049898
2016-09-15,0.00999123295479936
2016-09-16,-0.003846321117264254
2016-09-19,-8.549655551684003e-05
2016-09-20,0.00023259037385737366
2016-09-21,0.010792668087482521
2016-09-22,0.006414590881286631
2016-09-23,-0.005817063515978675
2016-09-26,-0.008687449003294469
2016-09-27,0.006362068296852137
2016-09-28,0.00522075902442294
2016-09-29,-0.009426554598527176
2016-09-30,0.00787340310724877
2016-10-03,-0.003330184217882613
2016-10-04,-0.005034384896738806
2016-10-05,0.004219812601967519
2016-10-06,0.00041260004968937127
2016-10-07,-0.0033268511670807347
2016-10-11,-0.007998871107478281
2016-10-12,0.001075528708477562
2016-10-13,-0.0031729202151491256
2016-10-14,0.00013079083321507526
2016-10-17,-0.0031122418388868853
2016-10-18,0.006072661802783499
2016-10-19,0.002120338371208751
2016-10-20,-0.0014459049155227041
2016-10-21,-0.00015259892351401585
2016-10-24,0.0046689709203807436
2016-10-25,-0.0038745811917529813
2016-10-26,-0.0018123314191084894
2016-10-27,-0.003063937797614912
2016-10-28,-0.003186271629578908
2016-10-31,-0.0001946361392027589
2016-11-01,-0.006881981688875883
2016-11-02,-0.006618067569053259
2016-11-03,-0.004504785889617727
2016-11-04,-0.001737923769614219
2016-11-07,0.0219082371493241
2016-11-08,0.00369096782524021
2016-11-09,0.010934815647801608
2016-11-10,0.001864432480875
2016-11-14,-0.0016019576096666641
2016-11-15,0.007365435217403621
2016-11-16,-0.0016706481388523112
2016-11-17,0.004575621224369232
2016-11-18,-0.002481438736139132
2016-11-21,0.0073423024712287455
2016-11-22,0.0020724671595344878
2016-11-23,0.0007151353580854012
2016-11-25,0.0038141828146003084
2016-11-28,-0.005359401045538772
2016-11-29,0.0012441662938591656
2016-11-30,-0.0027498810112817434
2016-12-01,-0.00361777331873531
2016-12-02,0.0003028145192222585
2016-12-05,0.005710701269606234
2016-12-06,0.0033113588117371726
2016-12-07,0.012985571374132658
2016-12-08,0.002062901816008736
2016-12-09,0.0058245935852572735
2016-12-12,-0.0012356816828827705
2016-12-13,0.006421271012346564
2016-12-14,-0.008249830304586644
2016-12-15,0.0037738515496623906
2016-12-16,-0.0018540128888714232
2016-12-19,0.00187363787248323
2016-12-20,0.003530216741108198
2016-12-21,-0.0025603075442423425
2016-12-22,-0.0019646330419611805
2016-12-23,0.00115101071551456
2016-12-27,0.002145153244504078
2016-12-28,-0.008490014395514448
2016-12-29,-0.00039094712415162745
2016-12-30,-0.004743885048825731
2017-01-03,0.008354716401185614
2017-01-04,0.005609526101807514
2017-01-05,-0.0008639180586065344
2017-01-06,0.0034159010057921036
2017-01-09,-0.0036482435471205253
2017-01-10,-9.333807556089629e-05
2017-01-11,0.002732304313541055
2017-01-12,-0.002239675192553017
2017-01-13,0.0017540181942842905
2017-01-17,-0.0030633140558635756
2017-01-18,0.0016673122950223642
2017-01-19,-0.003712662572031815
2017-01-20,0.0032633718724095167
2017-01-23,-0.00278825035281289
2017-01-24,0.006446315581249876
2017-01-25,0.00789490496781825
2017-01-26,-0.0008340286210060347
2017-01-27,-0.0009644388820248471
2017-01-30,-0.006125272888379909
2017-01-31,-0.0009863519600040427
2017-02-01,0.00020110679922586355
2017-02-02,0.0004729346498005876
2017-02-03,0.007140897462270353
2017-02-06,-0.002212485688496059
2017-02-07,0.0001326902629834062
2017-02-08,0.0006012947780189395
2017-02-09,0.005641950535097884
2017-02-10,0.0034652061152660165
2017-02-13,0.005136857979009808
2017-02-14,0.0039025022479601385
2017-02-15,0.004881514979991519
2017-02-16,-0.0009605419535216667
2017-02-17,0.001582261152450202
2017-02-21,0.0059345744150677586
2017-02-22,-0.001177674321591049
2017-02-23,0.00032556089569833724
2017-02-24,0.0014016262879730929
2017-02-27,0.0009249024689102644
2017-02-28,-0.0026742689140183086
2017-03-01,0.013484773414983399
2017-03-02,-0.005974716364388524
2017-03-03,0.00040615097625153516
2017-03-06,-0.0033802221558490667
2017-03-07,-0.003016386677914397
2017-03-08,-0.002387523624108456
2017-03-09,0.0006977194748752049
2017-03-10,0.003162257182156038
2017-03-13,0.00026393601787706386
2017-03-14,-0.003486605118782187
2017-03-15,0.008241505438943433
2017-03-16,-0.0017271826273340455
2017-03-17,-0.0014131658221297344
2017-03-20,-0.0021087410280927355
2017-03-21,-0.012580870195103512
2017-03-22,0.0017939896466003021
2017-03-23,-0.0011553328515731581
2017-03-24,-0.0009384654148008482
2017-03-27,-0.0011134456614065266
2017-03-28,0.007130420654836995
2017-03-29,0.000991010546692733
2017-03-30,0.0028359227369180577
2017-03-31,-0.0023517071391291828
2017-04-03,-0.0017356504116609794
2017-04-04,0.0004668032758379715
2017-04-05,-0.003151324182112815
2017-04-06,0.0018358629231443008
2017-04-07,-0.0009208105385057679
2017-04-10,0.0005944996796579264
2017-04-11,-0.00152592008276184
2017-04-12,-0.0038564975953158526
2017-04-13,-0.006925928244729348
2017-04-17,0.008487781549584426
2017-04-18,-0.0029931813296211933
2017-04-19,-0.0018045687871578347
2017-04-20,0.0074409424080487205
2017-04-21,-0.00312759606204051
2017-04-24,0.010692276411782881
2017-04-25,0.005980039108103529
2017-04-26,-0.0005768332664909054
2017-04-27,0.0004625309408964708
2017-04-28,-0.0020048276083187103
2017-05-01,0.0016393922272486955
2017-05-02,0.0010984954489828606
2017-05-03,-0.0013635689954725164
2017-05-04,0.0004893704890461467
2017-05-05,0.00398779660865496
2017-05-08,-5.62803852295576e-05
2017-05-09,-0.0011206627315801735
2017-05-10,0.0010354620107063993
2017-05-11,-0.0022588770312440554
2017-05-12,-0.0015709349404393893
2017-05-15,0.0046733549324245414
2017-05-16,-0.0007785326366311758
2017-05-17,-0.0184325997875914
2017-05-18,0.0035925188225301124
2017-05-19,0.006657183403514862
2017-05-22,0.005058567228806764
2017-05-23,0.0017463370355517416
2017-05-24,0.0023973496630534303
2017-05-25,0.004343815974776509
2017-05-26,0.00022220571810075784
2017-05-30,-0.00129209411982308
2017-05-31,-0.0005468180102405877
2017-06-01,0.007455852194557964
2017-06-02,0.003616461382825624
2017-06-05,-0.0013039856242165774
2017-06-06,-0.0028669334091858557
2017-06-07,0.0014814503125595991
2017-06-08,0.0001812022117122816
2017-06-09,-0.0009170772564765363
2017-06-12,-0.0010659858700073738
2017-06-13,0.0044146154529408795
2017-06-14,-0.0010807402005379987
2017-06-15,-0.0023269114862697095
2017-06-16,0.00019879746063035974
2017-06-19,0.00822661638294151
2017-06-20,-0.006803962136361
2017-06-21,-0.000667615882700932
2017-06-22,-0.0005402992076584811
2017-06-23,0.0014752853201887017
2017-06-26,0.00023172719675058914
2017-06-27,-0.008192329965962166
2017-06-28,0.008682370030074726
2017-06-29,-0.008726289022037498
2017-06-30,0.0014414336668149732
2017-07-03,0.002215992875499933
2017-07-05,0.0013608244366435708
2017-07-06,-0.009505937762991532
2017-07-07,0.0062889869124783645
2017-07-10,0.0008339980279516692
2017-07-11,-0.0008759375222075231
2017-07-12,0.007187651348176304
2017-07-13,0.001780654369825417
2017-07-14,0.004571216570364103
2017-07-17,-0.0001435381807654243
2017-07-18,0.0005086065202148367
2017-07-19,0.005269186038157299
2017-07-20,-0.00024274326650319556
2017-07-21,-0.00045584728413401455
2017-07-24,-0.0011529851369316687
2017-07-25,0.002827507920252903
2017-07-26,0.00019277586929081051
2017-07-27,-0.0010641734281972692
2017-07-28,-0.001432251737518774
2017-07-31,-0.0008186468939625374
2017-08-01,0.002357436633415602
2017-08-02,0.00040345522945129904
2017-08-03,-0.0022739497898708024
2017-08-04,0.0017982492396434176
2017-08-07,0.0015571605027576033
2017-08-08,-0.0025072003672140042
2017-08-09,-0.00045158274763750823
2017-08-10,-0.014666573526858644
2017-08-11,0.001188790304034651
2017-08-14,0.009906519629573046
2017-08-15,-0.0005880045047796408
2017-08-16,0.0013315757186465331
2017-08-17,-0.0156433093111439
2017-08-18,-0.001923020485304479
2017-08-21,0.0010763972307782578
2017-08-22,0.00980456364414872
2017-08-23,-0.003544760238255043
2017-08-24,-0.002162583571090927
2017-08-25,0.001586281563321386
2017-08-28,0.000402151783866739
2017-08-29,0.0007588305493037746
2017-08-30,0.0045201185528406474
2017-08-31,0.005621425940327863
2017-09-01,0.0018957763529058617
2017-09-05,-0.007660762783999356
2017-09-06,0.003041372099562671
2017-09-07,-0.00025897864512260745
2017-09-08,-0.0015708755785677603
2017-09-11,0.010696950454165252
2017-09-12,0.0032731124892670773
2017-09-13,0.0006704791219654155
2017-09-14,-0.0011876789769450875
2017-09-15,0.001759122420042235
2017-09-18,0.0013673421244434917
2017-09-19,0.0010216716618062535
