,rf_daily
2016-06-24,6.181757921951771e-05
2016-06-27,5.751764345417663e-05
2016-06-28,5.751764345417663e-05
2016-06-29,5.908179561012126e-05
2016-06-30,5.8690815367600574e-05
2016-07-01,5.751764345417663e-05
2016-07-05,5.399604526276566e-05
2016-07-06,5.438748831790463e-05
2016-07-07,5.517025860710887e-05
2016-07-08,5.399604526276566e-05
2016-07-11,5.6344124602432255e-05
2016-07-12,6.0254505258095456e-05
2016-07-13,5.829979659916541e-05
2016-07-14,6.0254505258095456e-05
2016-07-15,6.298948077892922e-05
2016-07-18,6.259888537842158e-05
2016-07-19,6.142686844597768e-05
2016-07-20,6.259888537842158e-05
2016-07-21,6.181757921951771e-05
2016-07-22,6.181757921951771e-05
2016-07-25,6.2208251527808e-05
2016-07-26,6.181757921951771e-05
2016-07-27,5.9863640547781564e-05
2016-07-28,5.9863640547781564e-05
2016-07-29,5.751764345417663e-05
2016-08-01,5.94727373343184e-05
2016-08-02,6.103611919961267e-05
2016-08-03,6.103611919961267e-05
2016-08-04,5.94727373343184e-05
2016-08-05,6.259888537842158e-05
2016-08-08,6.259888537842158e-05
2016-08-09,6.103611919961267e-05
2016-08-10,5.908179561012126e-05
2016-08-11,6.181757921951771e-05
2016-08-12,5.94727373343184e-05
2016-08-15,6.103611919961267e-05
2016-08-16,6.181757921951771e-05
2016-08-17,6.142686844597768e-05
2016-08-18,6.0254505258095456e-05
2016-08-19,6.2208251527808e-05
2016-08-22,6.103611919961267e-05
2016-08-23,6.103611919961267e-05
2016-08-24,6.142686844597768e-05
2016-08-25,6.2208251527808e-05
2016-08-26,6.377055625989865e-05
2016-08-29,6.181757921951771e-05
2016-08-30,6.181757921951771e-05
2016-08-31,6.2208251527808e-05
2016-09-01,6.181757921951771e-05
2016-09-02,6.298948077892922e-05
2016-09-06,6.103611919961267e-05
2016-09-07,6.0645331472845164e-05
2016-09-08,6.338003773689947e-05
2016-09-09,6.572257261499297e-05
2016-09-12,6.611286068693322e-05
2016-09-13,6.80637254665304e-05
2016-09-14,6.689332169215399e-05
2016-09-15,6.728349464052925e-05
2016-09-16,6.689332169215399e-05
2016-09-19,6.689332169215399e-05
2016-09-20,6.650311037680406e-05
2016-09-21,6.533224615343266e-05
2016-09-22,6.416103635549083e-05
2016-09-23,6.377055625989865e-05
2016-09-26,6.259888537842158e-05
2016-09-27,6.142686844597768e-05
2016-09-28,6.181757921951771e-05
2016-09-29,6.142686844597768e-05
2016-09-30,6.298948077892922e-05
2016-10-03,6.416103635549083e-05
2016-10-04,6.650311037680406e-05
2016-10-05,6.767362922947469e-05
2016-10-06,6.884380291513124e-05
2016-10-07,6.80637254665304e-05
2016-10-11,6.962372704662247e-05
2016-10-12,7.040349792125843e-05
2016-10-13,6.884380291513124e-05
2016-10-14,7.079332590607545e-05
2016-10-17,6.962372704662247e-05
2016-10-18,6.884380291513124e-05
2016-10-19,6.923378414174883e-05
2016-10-20,6.923378414174883e-05
2016-10-21,6.845378335923679e-05
2016-10-24,6.962372704662247e-05
2016-10-25,6.962372704662247e-05
2016-10-26,7.040349792125843e-05
2016-10-27,7.274189160604532e-05
2016-10-28,7.313148995383787e-05
2016-10-31,7.235225500420509e-05
2016-11-01,7.196258014080428e-05
2016-11-02,7.118311559925793e-05
2016-11-03,7.157286700832768e-05
2016-11-04,7.040349792125843e-05
2016-11-07,7.196258014080428e-05
2016-11-08,7.391057191732071e-05
2016-11-09,8.1304231854427e-05
2016-11-10,8.441323522039592e-05
2016-11-14,8.751980468583854e-05
2016-11-15,8.751980468583854e-05
2016-11-16,8.713161647635769e-05
2016-11-17,8.984813682866894e-05
2016-11-18,9.178737059069232e-05
2016-11-21,9.13995996451301e-05
2016-11-22,9.062394405856003e-05
2016-11-23,9.256279882339983e-05
2016-11-25,9.256279882339983e-05
2016-11-28,9.101179080355552e-05
2016-11-29,9.023605940273548e-05
2016-11-30,9.295045612534964e-05
2016-12-01,9.605035197149746e-05
2016-12-02,9.411320086236534e-05
2016-12-05,9.372565713743662e-05
2016-12-06,9.372565713743662e-05
2016-12-07,9.178737059069232e-05
2016-12-08,9.411320086236534e-05
2016-12-09,9.682494771244096e-05
2016-12-12,9.75993922832545e-05
2016-12-13,9.721218889042608e-05
2016-12-14,9.953484272802874e-05
2016-12-15,0.0001018561378911818
2016-12-16,0.0001018561378911818
2016-12-19,9.953484272802874e-05
2016-12-20,0.00010069566004455674
2016-12-21,9.99218195646759e-05
2016-12-22,9.99218195646759e-05
2016-12-23,9.99218195646759e-05
2016-12-27,0.00010069566004455674
2016-12-28,9.83736857429313e-05
2016-12-29,9.75993922832545e-05
2016-12-30,9.605035197149746e-05
2017-01-03,9.605035197149746e-05
2017-01-04,9.643766874192388e-05
2017-01-05,9.295045612534964e-05
2017-01-06,9.488817478695587e-05
2017-01-09,9.333807556089629e-05
2017-01-10,9.333807556089629e-05
2017-01-11,9.333807556089629e-05
2017-01-12,9.256279882339983e-05
2017-01-13,9.411320086236534e-05
2017-01-17,9.13995996451301e-05
2017-01-18,9.488817478695587e-05
2017-01-19,9.682494771244096e-05
2017-01-20,9.721218889042608e-05
2017-01-23,9.450070674307494e-05
2017-01-24,9.682494771244096e-05
2017-01-25,9.914782815043095e-05
2017-01-26,9.83736857429313e-05
2017-01-27,9.75993922832545e-05
2017-01-30,9.75993922832545e-05
2017-01-31,9.605035197149746e-05
2017-02-01,9.721218889042608e-05
2017-02-02,9.721218889042608e-05
2017-02-03,9.75993922832545e-05
2017-02-06,9.488817478695587e-05
2017-02-07,9.411320086236534e-05
2017-02-08,9.178737059069232e-05
2017-02-09,9.411320086236534e-05
2017-02-10,9.450070674307494e-05
2017-02-13,9.527560500139624e-05
2017-02-14,9.682494771244096e-05
2017-02-15,9.83736857429313e-05
2017-02-16,9.605035197149746e-05
2017-02-17,9.488817478695587e-05
2017-02-21,9.527560500139624e-05
2017-02-22,9.488817478695587e-05
2017-02-23,9.333807556089629e-05
2017-02-24,9.062394405856003e-05
2017-02-27,9.256279882339983e-05
2017-02-28,9.256279882339983e-05
2017-03-01,9.643766874192388e-05
2017-03-02,9.75993922832545e-05
2017-03-03,9.75993922832545e-05
2017-03-06,9.75993922832545e-05
2017-03-07,9.876077582451937e-05
2017-03-08,0.00010069566004455674
2017-03-09,0.0001018561378911818
2017-03-10,0.00010108252370250423
2017-03-13,0.00010262960129256893
2017-03-14,0.0001018561378911818
2017-03-15,9.83736857429313e-05
2017-03-16,9.914782815043095e-05
2017-03-17,9.798655789829926e-05
2017-03-20,9.682494771244096e-05
2017-03-21,9.527560500139624e-05
2017-03-22,9.411320086236534e-05
2017-03-23,9.450070674307494e-05
2017-03-24,9.411320086236534e-05
2017-03-27,9.333807556089629e-05
2017-03-28,9.488817478695587e-05
2017-03-29,9.372565713743662e-05
2017-03-30,9.488817478695587e-05
2017-03-31,9.411320086236534e-05
2017-04-03,9.217510364764779e-05
2017-04-04,9.256279882339983e-05
2017-04-05,9.178737059069232e-05
2017-04-06,9.178737059069232e-05
2017-04-07,9.333807556089629e-05
2017-04-10,9.295045612534964e-05
2017-04-11,9.101179080355552e-05
2017-04-12,8.946017632894617e-05
2017-04-13,8.790795492513206e-05
2017-04-17,8.868414152286415e-05
2017-04-18,8.557848378793883e-05
2017-04-19,8.674339028926004e-05
2017-04-20,8.790795492513206e-05
2017-04-21,8.790795492513206e-05
2017-04-24,8.946017632894617e-05
2017-04-25,9.217510364764779e-05
2017-04-26,9.101179080355552e-05
2017-04-27,9.023605940273548e-05
2017-04-28,8.984813682866894e-05
2017-05-01,9.13995996451301e-05
2017-05-02,8.984813682866894e-05
2017-05-03,9.13995996451301e-05
2017-05-04,9.256279882339983e-05
2017-05-05,9.256279882339983e-05
2017-05-08,9.372565713743662e-05
2017-05-09,9.488817478695587e-05
2017-05-10,9.450070674307494e-05
2017-05-11,9.372565713743662e-05
2017-05-12,9.13995996451301e-05
2017-05-15,9.178737059069232e-05
2017-05-16,9.13995996451301e-05
2017-05-17,8.713161647635769e-05
2017-05-18,8.751980468583854e-05
2017-05-19,8.751980468583854e-05
2017-05-22,8.829606720166557e-05
2017-05-23,8.984813682866894e-05
2017-05-24,8.868414152286415e-05
2017-05-25,8.829606720166557e-05
2017-05-26,8.829606720166557e-05
2017-05-30,8.674339028926004e-05
2017-05-31,8.674339028926004e-05
2017-06-01,8.674339028926004e-05
2017-06-02,8.441323522039592e-05
2017-06-05,8.557848378793883e-05
2017-06-06,8.402474298177209e-05
2017-06-07,8.557848378793883e-05
2017-06-08,8.596682395248554e-05
2017-06-09,8.674339028926004e-05
2017-06-12,8.674339028926004e-05
2017-06-13,8.674339028926004e-05
2017-06-14,8.441323522039592e-05
2017-06-15,8.48016894293355e-05
2017-06-16,8.48016894293355e-05
2017-06-19,8.596682395248554e-05
2017-06-20,8.48016894293355e-05
2017-06-21,8.48016894293355e-05
2017-06-22,8.441323522039592e-05
2017-06-23,8.441323522039592e-05
2017-06-26,8.402474298177209e-05
2017-06-27,8.674339028926004e-05
2017-06-28,8.713161647635769e-05
2017-06-29,8.907217789615078e-05
2017-06-30,9.062394405856003e-05
2017-07-03,9.217510364764779e-05
2017-07-05,9.13995996451301e-05
2017-07-06,9.295045612534964e-05
2017-07-07,9.372565713743662e-05
2017-07-10,9.333807556089629e-05
2017-07-11,9.295045612534964e-05
2017-07-12,9.13995996451301e-05
2017-07-13,9.217510364764779e-05
2017-07-14,9.13995996451301e-05
2017-07-17,9.062394405856003e-05
2017-07-18,8.907217789615078e-05
2017-07-19,8.907217789615078e-05
2017-07-20,8.907217789615078e-05
2017-07-21,8.790795492513206e-05
2017-07-24,8.868414152286415e-05
2017-07-25,9.13995996451301e-05
2017-07-26,8.984813682866894e-05
2017-07-27,9.101179080355552e-05
2017-07-28,9.023605940273548e-05
2017-07-31,9.023605940273548e-05
2017-08-01,8.868414152286415e-05
2017-08-02,8.907217789615078e-05
2017-08-03,8.790795492513206e-05
2017-08-04,8.907217789615078e-05
2017-08-07,8.868414152286415e-05
2017-08-08,8.984813682866894e-05
2017-08-09,8.790795492513206e-05
2017-08-10,8.635512611711393e-05
2017-08-11,8.596682395248554e-05
2017-08-14,8.713161647635769e-05
2017-08-15,8.907217789615078e-05
2017-08-16,8.751980468583854e-05
2017-08-17,8.596682395248554e-05
2017-08-18,8.596682395248554e-05
2017-08-21,8.557848378793883e-05
2017-08-22,8.713161647635769e-05
2017-08-23,8.519010561603561e-05
2017-08-24,8.596682395248554e-05
2017-08-25,8.519010561603561e-05
2017-08-28,8.48016894293355e-05
2017-08-29,8.36362127060171e-05
2017-08-30,8.441323522039592e-05
2017-08-31,8.32476443856818e-05
2017-09-01,8.48016894293355e-05
2017-09-05,8.1304231854427e-05
2017-09-06,8.247039358146195e-05
2017-09-07,8.052660026889838e-05
2017-09-08,8.091543511005548e-05
2017-09-11,8.402474298177209e-05
2017-09-12,8.519010561603561e-05
2017-09-13,8.635512611711393e-05
2017-09-14,8.635512611711393e-05
2017-09-15,8.635512611711393e-05
2017-09-18,8.751980468583854e-05
2017-09-19,8.790795492513206e-05
2017-09-20,8.946017632894617e-05
2017-09-21,8.907217789615078e-05
2017-09-22,8.868414152286415e-05
2017-09-25,8.713161647635769e-05
2017-09-26,8.790795492513206e-05
2017-09-27,9.062394405856003e-05
2017-09-28,9.062394405856003e-05
2017-09-29,9.13995996451301e-05
2017-10-02,9.178737059069232e-05
2017-10-03,9.13995996451301e-05
2017-10-04,9.13995996451301e-05
2017-10-05,9.217510364764779e-05
2017-10-06,9.295045612534964e-05
2017-10-10,9.217510364764779e-05
2017-10-11,9.217510364764779e-05
2017-10-12,9.13995996451301e-05
2017-10-13,8.946017632894617e-05
2017-10-16,9.023605940273548e-05
2017-10-17,9.023605940273548e-05
2017-10-18,9.178737059069232e-05
2017-10-19,9.13995996451301e-05
2017-10-20,9.372565713743662e-05
2017-10-23,9.333807556089629e-05
2017-10-24,9.488817478695587e-05
2017-10-25,9.566299739378216e-05
2017-10-26,9.643766874192388e-05
2017-10-27,9.488817478695587e-05
2017-10-30,9.295045612534964e-05
2017-10-31,9.333807556089629e-05
2017-11-01,9.295045612534964e-05
2017-11-02,9.217510364764779e-05
2017-11-03,9.178737059069232e-05
2017-11-06,9.101179080355552e-05
2017-11-07,9.101179080355552e-05
2017-11-08,9.101179080355552e-05
2017-11-09,9.13995996451301e-05
2017-11-10,9.411320086236534e-05
2017-11-13,9.411320086236534e-05
2017-11-14,9.333807556089629e-05
2017-11-15,9.13995996451301e-05
2017-11-16,9.295045612534964e-05
2017-11-17,9.217510364764779e-05
2017-11-20,9.295045612534964e-05
2017-11-21,9.256279882339983e-05
2017-11-22,9.101179080355552e-05
2017-11-24,9.178737059069232e-05
2017-11-27,9.101179080355552e-05
2017-11-28,9.178737059069232e-05
2017-11-29,9.295045612534964e-05
2017-11-30,9.488817478695587e-05
2017-12-01,9.295045612534964e-05
2017-12-04,9.295045612534964e-05
2017-12-05,9.256279882339983e-05
2017-12-06,9.13995996451301e-05
2017-12-07,9.295045612534964e-05
2017-12-08,9.333807556089629e-05
2017-12-11,9.372565713743662e-05
2017-12-12,9.411320086236534e-05
2017-12-13,9.256279882339983e-05
2017-12-14,9.217510364764779e-05
2017-12-15,9.217510364764779e-05
2017-12-18,9.372565713743662e-05
2017-12-19,9.643766874192388e-05
2017-12-20,9.75993922832545e-05
2017-12-21,9.721218889042608e-05
2017-12-22,9.721218889042608e-05
2017-12-26,9.682494771244096e-05
2017-12-27,9.488817478695587e-05
